"Date","N100","Financial100","Composite","Composite_Hi","Composite_Low","N100_Hi","N100_Low","Industrial","Bank","Insurance","Financial","Transportation","Telecom","Biotech","Computer","NasdaqTrades","Volume","DolVol","MktVal","Advances","Declines","Unchanged"
1/2/2019 0:00:00,6360.87,4052.81,6665.94,6693.71,6506.88,6394.74,6198.68,5437.91,3328.87,7828.08,7240.71,4610.70,349.30,3061.26,3929.34,12913465.00,2280080324.00,115251214584.00,11019023068.00,2199.00,927.00,67.00
1/3/2019 0:00:00,6147.13,4013.60,6463.50,6600.21,6457.13,6292.68,6139.40,5339.20,3316.05,7731.90,7157.63,4467.09,338.12,3071.68,3731.64,15075001.00,2631555639.00,137721736109.00,10702193748.00,938.00,2165.00,84.00
1/4/2019 0:00:00,6422.67,4131.04,6738.86,6760.69,6554.24,6445.20,6234.59,5558.93,3409.83,7935.75,7351.38,4623.64,352.03,3228.22,3903.53,14221159.00,2596158321.00,141051239593.00,11139757908.00,2711.00,427.00,69.00
1/7/2019 0:00:00,6488.25,4147.44,6823.47,6855.60,6741.40,6521.44,6412.98,5655.69,3430.91,7923.28,7391.05,4651.88,355.59,3335.04,3929.90,14306587.00,2523451190.00,130992895181.00,11272657843.00,2356.00,771.00,82.00
1/8/2019 0:00:00,6551.85,4178.42,6897.00,6909.58,6795.86,6574.73,6457.00,5731.56,3462.26,7925.01,7455.61,4694.30,357.44,3357.50,3970.70,13570211.00,2407346692.00,126817130581.00,11391309988.00,2083.00,1009.00,115.00
1/9/2019 0:00:00,6600.69,4184.90,6957.08,6985.22,6899.56,6631.06,6549.44,5752.59,3476.21,7993.60,7457.82,4757.32,356.49,3379.21,4023.59,13307430.00,2434504393.00,121535452057.00,11443740645.00,2026.00,1065.00,107.00
1/10/2019 0:00:00,6620.94,4202.97,6986.07,6991.37,6877.08,6625.11,6517.54,5767.43,3465.27,8052.36,7513.20,4747.88,357.14,3425.43,4038.24,11702057.00,2190118058.00,110534580662.00,11490119657.00,1651.00,1445.00,120.00
1/11/2019 0:00:00,6601.40,4211.95,6971.48,6975.65,6933.60,6604.56,6562.04,5756.73,3471.97,8023.17,7527.93,4749.18,359.39,3428.67,4022.90,11128362.00,2074315304.00,100289566482.00,11459196720.00,1700.00,1368.00,118.00
1/14/2019 0:00:00,6541.04,4216.22,6905.92,6936.22,6887.48,6566.87,6512.64,5713.68,3475.64,8047.55,7512.36,4732.89,355.90,3368.59,3978.80,10613347.00,1960785938.00,99128536508.00,11349777320.00,909.00,2203.00,87.00
1/15/2019 0:00:00,6669.64,4253.33,7023.83,7025.85,6928.12,6674.53,6567.32,5808.67,3494.13,8130.28,7591.20,4719.09,359.27,3434.86,4058.06,11591696.00,2066094262.00,109629339007.00,11533823269.00,2116.00,964.00,115.00
1/16/2019 0:00:00,6668.56,4327.77,7034.69,7079.63,7028.12,6720.41,6665.05,5813.71,3567.44,8215.91,7699.91,4777.29,358.55,3414.96,4060.18,11593984.00,2163737521.00,113545441625.00,11552377590.00,1918.00,1175.00,107.00
1/17/2019 0:00:00,6718.45,4351.07,7084.46,7113.95,7003.62,6747.28,6637.10,5850.86,3591.86,8267.35,7718.97,4824.37,359.22,3452.91,4091.28,11646064.00,2149282548.00,105212298343.00,11628180192.00,1932.00,1156.00,121.00
1/18/2019 0:00:00,6784.61,4406.81,7157.23,7185.38,7096.62,6816.23,6727.94,5884.33,3643.37,8413.16,7778.25,4934.09,364.24,3475.33,4147.68,13145859.00,2459925089.00,139454105363.00,11744179673.00,2177.00,934.00,105.00
1/22/2019 0:00:00,6646.81,4377.59,7020.36,7110.16,6979.81,6738.57,6603.56,5760.10,3614.78,8327.53,7725.83,4832.97,361.37,3416.27,4057.34,13157649.00,2397663604.00,127763960997.00,11532885885.00,720.00,2400.00,92.00
1/23/2019 0:00:00,6658.76,4380.53,7025.77,7084.85,6953.23,6712.86,6584.50,5778.25,3624.18,8349.80,7714.62,4784.64,365.64,3389.39,4059.48,11970946.00,2288092926.00,106006059774.00,11542148025.00,1512.00,1552.00,132.00
1/24/2019 0:00:00,6702.55,4388.44,7073.46,7078.96,7029.95,6710.73,6656.52,5810.65,3626.80,8372.40,7730.91,4823.80,367.24,3391.17,4101.18,12245536.00,2419117497.00,112824684677.00,11616288551.00,1928.00,1140.00,115.00
1/25/2019 0:00:00,6787.37,4425.13,7164.86,7174.56,7111.09,6800.97,6733.32,5870.26,3666.40,8438.32,7782.29,4892.60,370.02,3440.91,4171.03,12759888.00,2446553854.00,120587158037.00,11762155081.00,2188.00,893.00,104.00
1/28/2019 0:00:00,6697.09,4437.68,7085.68,7086.30,7034.25,6697.53,6644.31,5828.77,3679.04,8417.13,7792.34,4898.56,367.11,3370.70,4108.06,12014604.00,2448796192.00,109700929465.00,11638189874.00,1117.00,1963.00,149.00
